자치구,등록 외국인(남),등록 외국인(여),총 등록 외국인
종로구,4107,5302,9409
중구,4421,4856,9277
용산구,7836,6513,14349
성동구,2815,3721,6536
광진구,5179,7224,12403
동대문구,5495,9115,14610
중랑구,1788,2769,4557
성북구,3586,5944,9530
강북구,1291,2149,3440
도봉구,724,1278,2002
노원구,1754,2205,3959
은평구,1532,2222,3754
서대문구,3847,7362,11209
마포구,3813,6485,10298
양천구,1328,1868,3196
강서구,2375,3005,5380
구로구,13025,10942,23967
금천구,7391,6412,13803
영등포구,12384,11117,23501
동작구,3729,4903,8632
관악구,6041,7920,13961
서초구,1859,1995,3854
강남구,2230,2531,4761
송파구,2556,3098,5654
강동구,1688,2109,3797
