자치구,총 등록 인구,총 등록 한국인,총 등록 외국인
종로구,153684,144275,9409
중구,131450,122173,9277
용산구,236518,222169,14349
성동구,291609,285073,6536
광진구,353110,340707,12403
동대문구,352592,337982,14610
중랑구,393600,389043,4557
성북구,442680,433150,9530
강북구,300824,297384,3440
도봉구,318100,316098,2002
노원구,514445,510486,3959
은평구,476013,472259,3754
서대문구,317075,305866,11209
마포구,378629,368331,10298
양천구,449378,446182,3196
강서구,578426,573046,5380
구로구,419984,396017,23967
금천구,244901,231098,13803
영등포구,400241,376740,23501
동작구,394649,386017,8632
관악구,500336,486375,13961
서초구,413677,409823,3854
강남구,537338,532577,4761
송파구,668261,662607,5654
강동구,465097,461300,3797
